Institution,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
Yale U.,76490.0,76490.0,646.0,11.0,True,True,False,57.0,62089.0,14401.0,41120.0
U. of Cal. - Sta. Barbara,36685.0,36685.0,2743.0,12.0,False,True,False,3.0,22215.0,14470.0,36045.0
Brown U.,77490.0,77490.0,751.0,11.0,True,True,False,17.0,62935.0,14555.0,66763.0
U. of South Florida - Tampa,23320.0,23320.0,2095.0,9.0,False,True,False,19.0,8643.0,14677.0,21695.0
U. of Maryland - Baltimore,28212.0,28212.0,449.0,5.0,False,True,False,19.0,13464.0,14748.0,25603.0
Hollins U.,56290.0,56290.0,44.0,7.0,True,True,False,100.0,41301.0,14989.0,14989.0
Stanford U.,75470.0,75470.0,739.0,11.0,True,True,False,27.0,60250.0,15220.0,59083.0
U. of Nevada - Reno,24652.0,24652.0,146.0,1.0,True,True,False,53.0,9415.0,15237.0,19622.0
Colorado State U. - FC,27255.0,27255.0,988.0,4.0,True,True,False,36.0,11686.0,15569.0,23080.0
Pomona C.,75080.0,75080.0,189.0,11.0,True,True,False,44.0,59477.0,15603.0,48960.0
Winona State U.,21975.0,21975.0,170.0,3.0,False,True,False,39.0,6096.0,15879.0,19608.0
Smith C.,75229.0,75229.0,344.0,14.0,True,True,False,45.0,59322.0,15907.0,48327.0
Barnard C.,78044.0,78044.0,249.0,9.0,True,True,False,12.0,62097.0,15947.0,70562.0
Lafayette C.,73266.0,73266.0,249.0,10.0,True,True,False,51.0,57254.0,16012.0,43834.0
New Jersey Inst. of Tech.,37738.0,37738.0,413.0,7.0,True,True,False,31.0,21556.0,16182.0,31162.0
Florida State U.,23307.0,23307.0,540.0,2.0,True,True,False,69.0,7035.0,16272.0,18460.0
U. of Texas - San Antonio,21381.0,21381.0,464.0,2.0,True,True,False,51.0,4974.0,16407.0,18851.0
U. of South Carolina,28301.0,28301.0,627.0,2.0,False,True,False,18.0,11859.0,16442.0,26145.0
Mass. Inst of Technology,73160.0,73160.0,457.0,10.0,True,True,False,78.0,56675.0,16485.0,28887.0
Princeton U.,70850.0,70850.0,653.0,12.0,True,True,False,70.0,54271.0,16579.0,32702.0
Bucknell U.,75400.0,75400.0,239.0,7.0,True,True,False,54.0,58757.0,16643.0,43932.0
Oregon State U.,28407.0,28407.0,1875.0,11.0,True,True,False,5.0,11099.0,17308.0,27851.0
Oklahoma State U.,24035.0,24035.0,722.0,4.0,True,True,False,36.0,6709.0,17326.0,21638.0
U. of Oregon,28407.0,28407.0,1875.0,11.0,True,True,False,5.0,11009.0,17398.0,27855.0
U. of Arkansas,26144.0,26144.0,644.0,3.0,False,True,False,32.0,8698.0,17446.0,23375.0
Rutgers U. - NB,33291.0,33291.0,3211.0,10.0,False,True,False,8.0,15786.0,17505.0,32067.0
