,University,Cluster,Rank,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
23,Georgia Institute of Technology,1,24,COMMON_RESTAURANT,COFFEE,EASY_FOOD,SQUARE,THEATER,BREAKFAST,RESTAURANT,VENUE,ART,GYM,31080.0,31080.0,1375.0,10.0,False,True,True,0.0,0.0,31080.0,31080.0
24,Grinnell College,2,25,GYM,ART,THEATER,SELF_CARE,RESTAURANT,NOVEL_RESTAURANT,COMMON_RESTAURANT,BOOKSTORE,MUSEUM,VENUE,67646.0,67646.0,323.0,19.0,True,True,False,62.0,38487.0,29159.0,43696.0
25,Harvard University,3,26,COMMON_RESTAURANT,EASY_FOOD,RESTAURANT,SQUARE,PUB,BOOKSTORE,VENUE,COFFEE,Park,SWEETS,73800.0,73800.0,814.0,12.0,True,True,False,73.0,61703.0,12097.0,29001.0
26,Harvey Mudd College,1,27,COFFEE,COMMON_RESTAURANT,SQUARE,CONVENIENCE,SWEETS,EASY_FOOD,BEAUTY,SELF_CARE,Tea Room,NOVEL_RESTAURANT,77753.0,77753.0,83.0,10.0,True,True,False,31.0,31465.0,46288.0,67896.0
27,Johns Hopkins University,2,28,COMMON_RESTAURANT,EASY_FOOD,SELF_CARE,SWEETS,LIQUOR,CONVENIENCE,BREAKFAST,GROCERY,Gift Shop,Park,,,,,False,True,False,,,,
28,Kenyon College,2,29,EASY_FOOD,CONVENIENCE,COFFEE,GROCERY,COMMON_RESTAURANT,TRAIL,SELF_CARE,MUSEUM,RESTAURANT,NOVEL_RESTAURANT,71150.0,71150.0,123.0,7.0,True,True,False,63.0,56791.0,14359.0,35136.0
29,Lehigh University,5,30,COMMON_RESTAURANT,EASY_FOOD,COFFEE,PUB,CONVENIENCE,RESTAURANT,SWEETS,NOVEL_RESTAURANT,SQUARE,Salon / Barbershop,71465.0,71465.0,459.0,9.0,True,True,False,22.0,48706.0,22759.0,60748.0
30,Massachusetts Institute of Technology,4,31,EASY_FOOD,GYM,RESTAURANT,COMMON_RESTAURANT,Park,PUB,COFFEE,SQUARE,NOVEL_RESTAURANT,Tea Room,73160.0,73160.0,457.0,10.0,True,True,False,78.0,56675.0,16485.0,28887.0
31,Middlebury College,2,32,VENUE,MUSEUM,COFFEE,GYM,ART,Smoke Shop,Student Center,Tea Room,Salon / Barbershop,STADIUM,72000.0,72000.0,274.0,11.0,True,True,False,52.0,61036.0,10964.0,40368.0
32,New York University,0,33,COMMON_RESTAURANT,COFFEE,SWEETS,NOVEL_RESTAURANT,RESTAURANT,GYM,EASY_FOOD,SELF_CARE,VENUE,THEATER,76612.0,76612.0,5394.0,21.0,True,True,False,14.0,20376.0,56236.0,73669.0
33,Northeastern University,5,34,EASY_FOOD,COMMON_RESTAURANT,VENUE,COFFEE,ART,SWEETS,RESTAURANT,MUSEUM,NOVEL_RESTAURANT,GROCERY,73236.0,73236.0,3214.0,18.0,False,True,False,14.0,18031.0,55205.0,70622.0
34,Northwestern University,2,35,COFFEE,GYM,EASY_FOOD,ART,COMMON_RESTAURANT,MUSEUM,BEAUTY,RESTAURANT,JUICE,SWEETS,78599.0,78599.0,780.0,9.0,True,True,False,23.0,58827.0,19772.0,64948.0
35,Pomona College,5,36,COMMON_RESTAURANT,EASY_FOOD,RESTAURANT,COFFEE,SWEETS,BREAKFAST,NOVEL_RESTAURANT,FANCY_FOOD,THEATER,SQUARE,75080.0,75080.0,189.0,11.0,True,True,False,44.0,59477.0,15603.0,48960.0
36,Princeton University,3,38,SQUARE,COFFEE,COMMON_RESTAURANT,BEAUTY,RESTAURANT,VENUE,PUB,BOOKSTORE,MUSEUM,THEATER,70850.0,70850.0,653.0,12.0,True,True,False,70.0,54271.0,16579.0,32702.0
37,Rensselaer Polytechnic Institute,2,39,PUB,GYM,EASY_FOOD,LIQUOR,RESTAURANT,Smoke Shop,Student Center,THEATER,COFFEE,Clothing Store,67006.0,67006.0,980.0,15.0,False,True,True,0.0,0.0,67006.0,67006.0
