,University,Large,Medium,Public,Liberal Arts,Small,Rank,Private,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
46,Bates College,False,False,False,True,True,47.0,True,73538.0,73538.0,142.0,8.0,True,True,False,56.0,59258.0,14280.0,40153.0
47,Boston College,False,True,False,False,False,48.0,True,,,,,False,True,False,,,,
48,Claremont McKenna College,False,False,False,True,True,49.0,True,73000.0,73000.0,212.0,16.0,True,True,False,15.0,51364.0,21636.0,65489.0
49,Harvey Mudd College,False,False,False,True,True,50.0,True,77753.0,77753.0,83.0,10.0,True,True,False,31.0,31465.0,46288.0,67896.0
50,University of Texas - Austin,True,False,True,False,False,51.0,False,26506.0,26506.0,2160.0,6.0,True,True,False,25.0,8028.0,18478.0,24477.0
51,Colby College,False,False,False,True,True,52.0,True,74100.0,74100.0,198.0,10.0,True,True,False,52.0,48097.0,26003.0,49323.0
52,Hamilton College,False,False,False,True,True,53.0,True,70490.0,70490.0,126.0,7.0,True,True,False,42.0,61051.0,9439.0,44810.0
53,Wesleyan University,False,False,False,True,True,54.0,True,73000.0,73000.0,364.0,12.0,True,True,False,24.0,64017.0,8983.0,57347.0
54,Lehigh University,False,True,False,False,False,55.0,True,71465.0,71465.0,459.0,9.0,True,True,False,22.0,48706.0,22759.0,60748.0
55,College of William and Mary,False,True,True,False,False,56.0,False,38889.0,38889.0,381.0,6.0,False,True,True,0.0,0.0,38889.0,38889.0
56,Colgate University,False,False,False,True,True,57.0,True,75000.0,75000.0,276.0,9.0,True,True,False,56.0,61103.0,13897.0,40685.0
57,Virginia Tech,True,False,True,False,False,58.0,False,27213.0,27213.0,1824.0,7.0,False,True,True,0.0,0.0,27213.0,27213.0
58,University of Florida,True,False,True,False,False,59.0,False,0.0,0.0,742.0,2.0,False,True,True,0.0,0.0,0.0,0.0
59,Boston University,True,False,False,False,False,60.0,True,71618.0,71618.0,3687.0,22.0,False,True,False,6.0,34717.0,36901.0,69490.0
60,University of Richmond,False,True,False,True,False,61.0,True,69750.0,69750.0,295.0,9.0,True,True,False,56.0,44731.0,25019.0,44579.0
61,Smith College,False,False,False,True,True,62.0,False,75229.0,75229.0,344.0,14.0,True,True,False,45.0,59322.0,15907.0,48327.0
62,University of Wisconsin - Madison,True,False,True,False,False,63.0,False,,,3082.0,11.0,False,True,True,0.0,0.0,,
63,University of Illinois at Urbana-Champaign,True,False,True,False,False,64.0,False,31760.0,31760.0,4854.0,15.0,False,True,False,1.0,7163.0,24597.0,31688.0
64,Vassar College,False,False,False,True,True,65.0,False,73000.0,73000.0,208.0,8.0,True,True,False,40.0,63075.0,9925.0,47527.0
65,University of Georgia,True,False,True,False,False,66.0,False,27450.0,27450.0,432.0,2.0,False,True,True,0.0,0.0,27450.0,27450.0
66,Colorado College,False,False,False,True,True,67.0,False,73600.0,73600.0,184.0,9.0,True,True,False,59.0,44485.0,29115.0,47247.0
67,Cooper Union,False,False,False,False,True,68.0,False,,,,,False,True,False,,,,
68,Grinnell College,False,False,False,True,True,69.0,False,67646.0,67646.0,323.0,19.0,True,True,False,62.0,38487.0,29159.0,43696.0
69,Bucknell University,False,True,False,True,False,70.0,False,75400.0,75400.0,239.0,7.0,True,True,False,54.0,58757.0,16643.0,43932.0
70,Bryn Mawr College,False,False,False,True,True,71.0,False,73990.0,73990.0,291.0,22.0,True,True,False,40.0,55060.0,18930.0,52042.0
71,Kenyon College,False,False,False,True,True,72.0,False,71150.0,71150.0,123.0,7.0,True,True,False,63.0,56791.0,14359.0,35136.0
72,Rensselaer Polytechnic Institute,False,True,False,False,False,73.0,False,67006.0,67006.0,980.0,15.0,False,True,True,0.0,0.0,67006.0,67006.0
73,University of Miami,False,True,False,False,False,74.0,False,70906.0,70906.0,1631.0,16.0,True,True,False,19.0,28679.0,42227.0,65596.0
74,University of California - Santa Barbara,True,False,True,False,False,75.0,False,36685.0,36685.0,2743.0,12.0,False,True,False,3.0,22215.0,14470.0,36045.0
75,University of Rochester,False,True,False,False,False,76.0,False,,,,,False,True,False,,,,
76,Southern Methodist University,False,True,False,False,False,77.0,False,76710.0,76710.0,521.0,8.0,False,True,False,47.0,32551.0,44159.0,61465.0
77,Brigham Young University,True,False,False,False,False,78.0,False,19236.0,19236.0,1026.0,4.0,True,True,False,52.0,5704.0,13532.0,16289.0
78,Case Western Reserve University,False,True,False,False,False,79.0,False,70118.0,70118.0,693.0,14.0,True,True,False,18.0,31870.0,38248.0,64277.0
