University,Large,Medium,Public,Liberal Arts,Small,Rank,Private
University of Texas at Dallas,True,False,,False,False,,
Texas Tech University,True,False,,False,False,,
California State University - Long Beach,True,False,,False,False,,
University of Houston,True,False,,False,False,,
Temple University,True,False,,False,False,,
University of Mississippi,True,False,,False,False,,
Colorado State University,True,False,,False,False,,
San Diego State University,True,False,,False,False,,
Florida International University,True,False,,False,False,,
University of Tennessee,True,False,,False,False,,
University of California - Santa Cruz,True,False,,False,False,,
Oregon State University,True,False,,False,False,,
Stevens Institute of Technology,True,True,,False,False,,
St. Olaf College,True,True,,True,False,,
Brandeis University,True,True,,False,False,,
George Washington University,True,True,,False,False,,
University of Tulsa,True,True,,False,False,,
Texas Christian University,True,True,,False,False,,
Bentley University,True,True,,False,False,,
Michigan Technological University,True,True,,False,False,,
Syracuse University,True,True,,False,False,,
Pepperdine University,True,True,,False,False,,
Saint Louis University,True,True,,False,False,,
University of San Diego,True,True,,False,False,,
Loyola Marymount University,True,True,,False,False,,
Baylor University,True,True,,False,False,,
University of Dayton,True,True,,False,False,,
University of Portland,True,True,,False,False,,
American University,True,True,,False,False,,
Chapman University,True,True,,False,False,,
University of Denver,True,True,,False,False,,
Creighton University,True,True,,False,False,,
Rochester Institute of Technology,True,True,,False,False,,
The College of New Jersey,True,True,,False,False,,
University of San Francisco,True,True,,False,False,,
Gonzaga University,True,True,,False,False,,
University of St. Thomas - Minnesota,True,True,,False,False,,
Butler University,True,True,,False,False,,
Hope College,True,True,,False,False,,
Missouri University of Science & Technology,True,True,,False,False,,
CUNY Baruch College,True,True,,False,False,,
"Binghamton University, SUNY",True,True,,False,False,,
Fairfield University,True,True,,False,False,,
Marquette University,True,True,,False,False,,
Calvin College,True,True,,False,False,,
University of Vermont,True,True,,False,False,,
University of Scranton,True,True,,False,False,,
Skidmore College,True,False,,True,True,,
Pitzer College,True,False,,True,True,,
Whitman College,True,False,,True,True,,
Occidental College,True,False,,True,True,,
Trinity University - Texas,True,False,,False,True,,
Gettysburg College,True,False,,True,True,,
Yeshiva University,True,False,,False,True,,
Franklin & Marshall College,True,False,,True,True,,
Union College - New York,True,False,,True,True,,
Furman University,True,False,,True,True,,
Wheaton College - Illinois,True,False,,True,True,,
CUNY Stella & Charles Guttman Community College,True,False,,False,True,,
Denison University,True,False,,True,True,,
Sewanee - The University of the South,True,False,,True,True,,
Rhode Island School of Design,True,False,,False,True,,
Oberlin College,True,False,,True,True,,
Lawrence University,True,False,,True,True,,
Gustavus Adolphus College,True,False,,True,True,,
Wabash College,True,False,,True,True,,
Rhodes College,True,False,,False,True,,
Milwaukee School of Engineering,True,False,,False,True,,
Drake University,True,False,,False,True,,
Dickinson College,True,False,,False,True,,
Ohio Northern University,True,False,,False,True,,
Baptist College of Health Sciences,True,False,,False,True,,
St. Lawrence University,True,False,,False,True,,
Virginia Military Institute,True,False,,False,True,,
New Mexico Tech,True,False,,False,True,,
Moody Bible Institute,True,False,,False,True,,
Luther College,True,False,,False,True,,
SUNY College of Environmental Science & Forestry,True,False,,False,True,,
DePauw University,True,False,,False,True,,
LeTourneau University,True,False,,False,True,,
College of Wooster,True,False,,False,True,,
Illinois Institute of Technology,True,False,,False,True,,
Illinois Wesleyan University,True,False,,False,True,,
Augustana University,True,False,,False,True,,
Muhlenberg College,True,False,,False,True,,
Point Loma Nazarene University,True,False,,False,True,,
Wofford College,True,False,,False,True,,
